Twitter_User_Name,Twitter_Account,Twitter_User_Description,Tweet_id,Tweet_created_at,Tweet_text,char_count,word_count,question_count,exclamation_count,hashtag_count,mention_count,link_count,polarity,subjectivity,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pron_ratio,unique_word_ratio,stopword_count
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1071062332065882112,2018-12-07 15:22:13,b'RT @MalalaFund: \xf0\x9f\x92\x95\xf0\x9f\x92\x95 Learn more about the incredible @AmandaSCGorman: https://t.co/LN7rXZSOvU. https://t.co/5VlCrOlMti',149.0,11.0,0.0,0.0,0.0,2.0,2.0,0.7,0.7,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.0,0.0,0.72,1.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1071054597438009344,2018-12-07 14:51:29,b'Honored to receive the Gleitsman Activist Award from @Kennedy_School last night - and even more so to meet young le\xe2\x80\xa6 https://t.co/HjZmtik0V8',154.0,21.0,0.0,0.0,0.0,1.0,1.0,0.19999999999999998,0.32222222222222224,0.09090909090909091,0.13636363636363635,0.09090909090909091,0.13636363636363635,0.0,0.9629629629629629,4.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1070461170497265664,2018-12-05 23:33:25,b'Making progress for girls\xe2\x80\x99 education requires support from leaders in every sector. Thank you to @CelebrityCruise f\xe2\x80\xa6 https://t.co/ZHC2oS6fb7',165.0,18.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.15,0.05,0.0,0.05,0.9285714285714286,3.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1069014663097212930,2018-12-01 23:45:31,b'The Price of Free is an inspiring and moving film about the Nobel Peace Prize winner and my friend @K_satyarthi\xe2\x80\x99s w\xe2\x80\xa6 https://t.co/dSDTwIzo5p',165.0,22.0,0.0,0.0,0.0,1.0,1.0,0.45,0.9,0.17391304347826086,0.08695652173913043,0.0,0.0,0.043478260869565216,0.875,6.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1068945802104590337,2018-12-01 19:11:53,"b'RT @FarahPMohamed: Leaders made some progress for girls\xe2\x80\x99 education at this year\xe2\x80\x99s #G20, but they haven\xe2\x80\x99t gone far enough. My statement on t\xe2\x80\xa6'",187.0,23.0,0.0,0.0,1.0,1.0,0.0,0.05,0.75,0.20689655172413793,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.8333333333333334,2.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1067506736871944193,2018-11-27 19:53:34,"b'I have spoken with girls in the foothills of Pakistan, in the favelas of Brazil and in the camps of Nigeria. I have\xe2\x80\xa6 https://t.co/VkrYJyQ92s'",154.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14814814814814814,0.1111111111111111,0.0,0.0,0.037037037037037035,0.7419354838709677,10.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1063101930493394944,2018-11-15 16:10:26,b'RT @MalalaFund: We can\xe2\x80\x99t build strong economies if girls aren\xe2\x80\x99t learning the skills they need to succeed. This month #G20 leaders are meeti\xe2\x80\xa6',176.0,23.0,0.0,0.0,1.0,1.0,0.0,0.43333333333333335,0.7333333333333334,0.20689655172413793,0.13793103448275862,0.034482758620689655,0.0,0.06896551724137931,0.8484848484848485,2.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1061704823966457858,2018-11-11 19:38:50,b'@Brewmaster_CCB Thank you so much for your support \xf0\x9f\x99\x8f Sending all my love to my hero Evelyn \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f',229.0,18.0,0.0,0.0,0.0,1.0,0.0,0.35,0.4,0.21052631578947367,0.10526315789473684,0.0,0.10526315789473684,0.21052631578947367,0.49019607843137253,2.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1060489790934650880,2018-11-08 11:10:43,"b'Always proud of my father @ZiauddinY, but today I\xe2\x80\x99m especially so. His new book \xe2\x80\x9cLet Her Fly\xe2\x80\x9d is available now\xe2\x80\xa6 https://t.co/zOjrEApLjp'",182.0,21.0,0.0,0.0,0.0,1.0,1.0,0.3340909090909091,0.7136363636363636,0.2,0.04,0.12,0.08,0.12,0.8333333333333334,2.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1058051361605144584,2018-11-01 17:41:16,"b'RT @MalalaFund: ""What tends to get lost in the current refugee crisis is the humanity behind the statistics."" \xe2\x80\x94 @Malala in her new book, ""W\xe2\x80\xa6'",165.0,25.0,0.0,0.0,0.0,2.0,0.0,-0.08787878787878789,0.5181818181818182,0.21875,0.0625,0.09375,0.0,0.0625,0.8387096774193549,7.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1056944740174884867,2018-10-29 16:23:57,"b'From one PPE student to another, I had a great time listening to @rizmc speak this weekend. \xf0\x9f\x98\x8a https://t.co/7BcUSEUBAt'",135.0,19.0,0.0,0.0,0.0,1.0,1.0,0.8,0.75,0.13636363636363635,0.13636363636363635,0.045454545454545456,0.0,0.09090909090909091,0.9615384615384616,3.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1050378501226942467,2018-10-11 13:32:04,b'Happy #DayOfTheGirl \xe2\x9d\xa4\xef\xb8\x8f https://t.co/IYJKsKOKok',71.0,4.0,0.0,0.0,1.0,0.0,1.0,0.8,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1050160038491418624,2018-10-10 23:03:58,"b""Let's prepare girls today for the jobs of tomorrow - and reduce the global pay gap. Read @malalafund's new report:\xe2\x80\xa6 https://t.co/2nBTwDujgJ""",153.0,21.0,0.0,0.0,0.0,1.0,1.0,0.06818181818181818,0.22727272727272727,0.28,0.08,0.08,0.0,0.0,0.9310344827586207,5.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1049804372929077248,2018-10-09 23:30:41,"b'Technology is transforming the way we live, learn and earn. We need to prepare girls today for the jobs of tomorrow\xe2\x80\xa6 https://t.co/kjYUDIGwbG'",154.0,22.0,0.0,0.0,0.0,0.0,1.0,0.13636363636363635,0.5,0.24,0.2,0.0,0.0,0.08,0.9310344827586207,7.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1049757519793582080,2018-10-09 20:24:30,b'RT @Malala: We want girls to take part in creating the technology that will change our world \xe2\x80\x94 and who runs it. Read @MalalaFund\xe2\x80\x99s new repo\xe2\x80\xa6',176.0,26.0,0.0,0.0,0.0,2.0,0.0,0.13636363636363635,0.45454545454545453,0.20689655172413793,0.2413793103448276,0.06896551724137931,0.0,0.1724137931034483,0.8857142857142857,5.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1049590229529706498,2018-10-09 09:19:45,b'We want girls to take part in creating the technology that will change our world \xe2\x80\x94 and who runs it. Read\xe2\x80\xa6 https://t.co/JDtZcKwX0j',154.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.20833333333333334,0.041666666666666664,0.0,0.16666666666666666,0.9354838709677419,5.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1049222824764891137,2018-10-08 08:59:49,"b'RT @ZiauddinY: Please join me,@Malala and our family in London on 10 November for a special event to celebrate the launch of my book #LetHe\xe2\x80\xa6'",154.0,25.0,0.0,0.0,1.0,2.0,0.0,0.35714285714285715,0.5714285714285714,0.17857142857142858,0.07142857142857142,0.03571428571428571,0.0,0.07142857142857142,1.0,8.0
Malala,Malala,21 years old | advocate for girls’ education and women's equality | UN Messenger of Peace | founder @MalalaFund,1048956362875711488,2018-10-07 15:21:00,b'Still waiting!!!! @iamsrk \xf0\x9f\x99\x8f https://t.co/4dof6KAFlI',69.0,5.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0
